都道府県,清酒,合成清酒,しょうちゅう,みりん,ビール,果実酒類,ウィスキー類,スピリッツ類,リキュール類,雑酒,計
東京,108342,6386,89406,11959,773754,75017,26397,5468,37478,105705,1239922 
神奈川,51525,3006,46950,5257,324655,21211,12088,2170,17355,67339,551554 
千葉,33395,1822,31901,3369,204571,11964,7919,1049,15663,39351,351004 
山梨,7708,311,6864,615,37009,7079,958,122,1465,4265,66397 
埼玉,42165,1956,39459,3254,229334,13187,7024,1293,12475,48646,398795 
茨城,23934,933,13940,1249,109771,4248,2634,434,3870,13713,174727 
栃木,16106,534,11328,909,72599,3248,1945,243,2948,9916,119776 
群馬,15546,612,13901,1188,73136,3745,1819,331,2764,11763,124805 
長野,27035,647,12345,1489,97031,6434,2535,365,4323,12384,164588 
新潟,50115,2983,8060,2092,128088,5116,3508,527,4146,17874,222509 
大阪,68763,3190,27636,9588,547276,24348,13837,1951,31949,85661,814199 
京都,23780,881,5812,2894,134037,5993,3151,442,5967,20785,203743 
兵庫,43566,1637,14576,4823,255919,10730,6263,731,15107,41611,394963 
奈良,8899,283,2383,886,52115,1706,941,78,2599,10137,80027 
和歌山,11595,450,2619,1220,55510,1499,1214,167,2890,7318,84482 
滋賀,12182,428,3040,955,50302,1837,1165,122,2674,9709,82414 
北海道,40550,2884,46316,3224,269622,19429,10257,1060,7446,59143,459931 
宮城,22524,1431,12591,1567,96443,10053,4702,733,4190,15457,169691 
岩手,14475,630,10186,558,60713,2654,1850,244,2291,9443,103044 
福島,25654,879,11631,1251,86826,3486,3449,444,3569,11890,149080 
秋田,19813,876,6712,517,60759,2326,2097,243,2132,7635,103111 
青森,14102,1212,11661,638,73206,3017,3291,374,2528,12836,122865 
山形,16478,785,6534,799,53110,2854,2245,324,1660,6057,90846 
愛知,50682,2883,21811,7827,356173,13784,8356,1195,15532,56044,534293 
静岡,31379,2490,22609,2729,155836,7594,4184,645,7160,23890,258519 
三重,16017,886,5626,1830,73525,2360,1744,191,4234,10862,117280 
岐阜,19741,916,5070,1796,90068,2839,1768,254,3593,12993,139041 
石川,16362,544,2389,1014,61294,1977,1285,170,1908,6561,93506 
福井,9413,279,1454,659,40809,1098,806,109,1751,3164,59542 
富山,15702,329,2386,597,56118,1729,1289,160,1816,6201,86328 
広島,25955,901,14593,2693,146943,5798,3445,421,5903,27857,234513 
山口,13642,465,9655,1408,76090,2052,1703,141,2739,12694,120592 
岡山,18181,637,7466,1612,76103,3222,1812,197,3893,13850,126971 
鳥取,7611,526,2017,621,28403,854,692,79,996,4426,46228 
島根,10731,340,4427,875,35370,1727,695,82,971,4600,59818 
香川,9044,364,2922,1161,45292,1379,944,100,2527,7344,71077 
愛媛,13816,550,6349,1275,74200,1841,1607,211,2146,9380,111374 
徳島,7782,232,2821,689,34565,1008,692,63,1938,4074,53865 
高知,9667,259,3255,597,50054,1176,1005,102,1390,6493,73998 
福岡,36413,1838,35687,3397,241152,10434,5699,535,7455,44249,386859 
佐賀,9623,462,4505,447,39504,1056,702,51,947,5496,62793 
長崎,11606,478,11603,722,68789,2071,1534,112,1590,10044,108549 
熊本,7618,511,20991,1013,84727,2633,1082,141,1928,14595,135241 
大分,8579,459,13197,725,54648,1929,1896,203,1450,8381,91468 
鹿児島,1883,352,30993,1388,72261,1774,699,116,1593,12780,123845 
宮崎,2648,213,21174,547,49632,1600,624,75,1251,9620,87383 
